stale_fraction,strategy,n_min,n_max,delta_true_return,delta_proxy_score,delta_proxy_true_gap,delta_hallucinated_rollout,delta_retrieval_precision,proxy_up_true_down
0.45,base_bon,1,64,5.117777777777778,5.1091592489212445,-0.0086185288565329,0.0,,False
0.45,memory_bon,1,64,3.1516666666666673,2.4584490180523804,-0.6932176486142865,0.0,0.02314814814814814,False
0.45,oracle_memory_bon,1,64,3.8050000000000006,4.7110364691600894,0.9060364691600894,0.0,0.0,False
0.45,repaired_memory_bon,1,64,4.202222222222223,4.705013740274198,0.502791518051976,0.0,-0.08838383838383834,False
0.65,base_bon,1,64,5.895555555555556,5.882951810643181,-0.0126037449123733,0.0,,False
0.65,memory_bon,1,64,-4.629444444444443,1.9150161275892925,6.544460572033736,0.0,-0.014660493827160503,True
0.65,oracle_memory_bon,1,64,4.471666666666668,5.068362454749311,0.5966957880826443,0.0,0.0,False
0.65,repaired_memory_bon,1,64,4.808333333333334,5.383687983372473,0.5753546500391397,0.0,-0.09027777777777779,False
0.85,base_bon,1,64,7.69,7.676336856432226,-0.013663143567774701,0.0,,False
0.85,memory_bon,1,64,-5.464444444444443,3.3526667512978574,8.817111195742301,0.0555555555555555,-0.007716049382716111,True
0.85,oracle_memory_bon,1,64,6.141666666666667,5.85629493130272,-0.2853717353639456,0.0,0.0,False
0.85,repaired_memory_bon,1,64,5.973333333333334,5.82530084085993,-0.1480324924734045,0.0,-0.0877525252525252,False
0.93,base_bon,1,64,4.302777777777778,4.277412632219835,-0.025365145557943,0.0,,False
0.93,memory_bon,1,64,-9.087222222222223,5.3207857742697104,14.408007996491932,0.4444444444444444,-0.013117283950617203,True
0.93,oracle_memory_bon,1,64,2.1383333333333328,3.1509337823613874,1.0126004490280545,0.0555555555555555,0.0,False
0.93,repaired_memory_bon,1,64,2.4144444444444444,2.8759339465952043,0.4614895021507597,0.0,-0.11868686868686873,False
